status,error_message,method,shape,size,T,H,W,noise_std,seed,speed,direction_deg,vx_gt,vy_gt,vx_hat,vy_hat,endpoint_error,speed_error,angular_error_deg,success_at_0.1,success_at_0.2,success_at_0.5,runtime_sec,top1_score,top2_score,peak_ratio,peak_margin
ok,,phase,disk,5.0,16,128,128,0.0,4,0.25,0.0,0.25,0.0,0.2000000000000001,0.0,0.0499999999999998,0.0499999999999998,0.0,True,True,True,42.97823955724016,42619.27191698043,41873.21403041112,1.0178170676372604,746.0578865693169
ok,,phase,disk,5.0,16,128,128,0.0,3,0.25,0.0,0.25,0.0,0.2000000000000001,0.0,0.0499999999999998,0.0499999999999998,0.0,True,True,True,42.98508089315146,42619.27191698043,41873.21403041112,1.0178170676372604,746.0578865693169
ok,,phase,disk,5.0,16,128,128,0.0,2,0.25,0.0,0.25,0.0,0.2000000000000001,0.0,0.0499999999999998,0.0499999999999998,0.0,True,True,True,43.2536913738586,42619.27191698043,41873.21403041112,1.0178170676372604,746.0578865693169
ok,,phase,disk,5.0,16,128,128,0.0,0,0.25,0.0,0.25,0.0,0.2000000000000001,0.0,0.0499999999999998,0.0499999999999998,0.0,True,True,True,43.289571723900735,42619.27191698043,41873.21403041112,1.0178170676372604,746.0578865693169
ok,,phase,disk,5.0,16,128,128,0.0,1,0.25,0.0,0.25,0.0,0.2000000000000001,0.0,0.0499999999999998,0.0499999999999998,0.0,True,True,True,43.40424052719027,42619.27191698043,41873.21403041112,1.0178170676372604,746.0578865693169
ok,,phase,disk,5.0,32,128,128,0.0,1,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,43.91055163135752,44635.03638998375,41704.30121726673,1.0702741704614298,2930.735172717017
ok,,phase,disk,5.0,32,128,128,0.0,0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,44.14223733311519,44635.03638998375,41704.30121726673,1.0702741704614298,2930.735172717017
ok,,phase,disk,5.0,32,128,128,0.0,2,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,44.65586139913648,44635.03638998375,41704.30121726673,1.0702741704614298,2930.735172717017
ok,,phase,disk,5.0,32,128,128,0.0,3,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,43.79021172132343,44635.03638998375,41704.30121726673,1.0702741704614298,2930.735172717017
ok,,phase,disk,5.0,32,128,128,0.0,4,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,44.02267639664933,44635.03638998375,41704.30121726673,1.0702741704614298,2930.735172717017
ok,,phase,disk,5.0,64,128,128,0.0,0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,46.12064443062991,43850.03029497014,39583.49043715784,1.1077858422966969,4266.539857812306
ok,,phase,disk,5.0,64,128,128,0.0,1,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,46.23406912293285,43850.03029497014,39583.49043715784,1.1077858422966969,4266.539857812306
ok,,phase,disk,5.0,64,128,128,0.0,2,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,46.23555089300498,43850.03029497014,39583.49043715784,1.1077858422966969,4266.539857812306
ok,,phase,disk,5.0,64,128,128,0.0,3,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,46.018242612015456,43850.03029497014,39583.49043715784,1.1077858422966969,4266.539857812306
