status,error_message,method,shape,size,T,H,W,noise_std,seed,speed,direction_deg,vx_gt,vy_gt,vx_hat,vy_hat,endpoint_error,speed_error,angular_error_deg,success_at_0.1,success_at_0.2,success_at_0.5,runtime_sec,top1_score,top2_score,peak_ratio,peak_margin
ok,,phase,gaussian,5.0,16.0,128.0,128.0,0.0,0.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,43.34159352863208,10214.09903803619,10214.099028640368,1.0000000009198873,9.395822416990995e-06
ok,,phase,gaussian,5.0,16.0,128.0,128.0,0.0,3.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,43.34890604391694,10214.09903803619,10214.099028640368,1.0000000009198873,9.395822416990995e-06
ok,,phase,gaussian,5.0,16.0,128.0,128.0,0.0,1.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,43.43683087173849,10214.09903803619,10214.099028640368,1.0000000009198873,9.395822416990995e-06
ok,,phase,gaussian,5.0,16.0,128.0,128.0,0.0,4.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,43.53313388070092,10214.09903803619,10214.099028640368,1.0000000009198873,9.395822416990995e-06
ok,,phase,gaussian,5.0,16.0,128.0,128.0,0.0,2.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,43.64725465094671,10214.09903803619,10214.099028640368,1.0000000009198873,9.395822416990995e-06
ok,,phase,gaussian,5.0,32.0,128.0,128.0,0.0,2.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,44.582859463989735,10214.09905107892,10214.099038911358,1.0000000011912515,1.21675620903261e-05
ok,,phase,gaussian,5.0,32.0,128.0,128.0,0.0,1.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,44.77190257795155,10214.09905107892,10214.099038911358,1.0000000011912515,1.21675620903261e-05
ok,,phase,gaussian,5.0,32.0,128.0,128.0,0.0,0.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,45.064931720960885,10214.09905107892,10214.099038911358,1.0000000011912515,1.21675620903261e-05
ok,,phase,gaussian,5.0,32.0,128.0,128.0,0.0,4.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,44.30543495668098,10214.09905107892,10214.099038911358,1.0000000011912515,1.21675620903261e-05
ok,,phase,gaussian,5.0,32.0,128.0,128.0,0.0,3.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,44.38417741982266,10214.09905107892,10214.099038911358,1.0000000011912515,1.21675620903261e-05
ok,,phase,gaussian,5.0,64.0,128.0,128.0,0.0,0.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,46.57022282620892,10214.099035628356,10214.099026522104,1.0000000008915373,9.10625203687232e-06
ok,,phase,gaussian,5.0,64.0,128.0,128.0,0.0,1.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,46.69029838824645,10214.099035628356,10214.099026522104,1.0000000008915373,9.10625203687232e-06
ok,,phase,gaussian,5.0,64.0,128.0,128.0,0.0,2.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,46.82124407403171,10214.099035628356,10214.099026522104,1.0000000008915373,9.10625203687232e-06
ok,,phase,gaussian,5.0,64.0,128.0,128.0,0.0,3.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,46.59025035984814,10214.099035628356,10214.099026522104,1.0000000008915373,9.10625203687232e-06
ok,,phase,gaussian,5.0,64.0,128.0,128.0,0.0,4.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,46.82947961427272,10214.099035628356,10214.099026522104,1.0000000008915373,9.10625203687232e-06
ok,,phase,gaussian,5.0,16.0,128.0,128.0,0.05,0.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,47.8684267392382,9396.55778396403,9391.596784371546,1.0005282381373888,4.960999592483859
ok,,phase,gaussian,5.0,16.0,128.0,128.0,0.05,1.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,47.118459595832974,9517.6872360873,9485.9949166068,1.0033409589356848,31.692319480500373
ok,,phase,gaussian,5.0,16.0,128.0,128.0,0.05,2.0,0.25,0.0,0.25,0.0,0.2333333333333334,0.0,0.0166666666666666,0.0166666666666666,0.0,True,True,True,47.376326298806816,9699.794751444962,9683.317414306715,1.0017016210905056,16.477337138247094
